coefficient,estimate,ci_low,ci_high,p_value_wcb,boot_se
"C(property_type, Treatment('Single-Detached'))[Single-Detached]:d_RRP_lag2",-0.0032380698944859997,-0.00589234825053627,0.00614327614252,0.5385385385385385,0.004006140578211844
"C(property_type, Treatment('Single-Detached'))[Duplex]:d_RRP_lag2",-0.003265337226400726,-0.004041735665390657,0.004051432210361392,0.8778778778778779,0.00300862896347977
"C(property_type, Treatment('Single-Detached'))[Townhouse]:d_RRP_lag2",-0.007122254278488931,-0.006159424801337413,0.006171928620307697,0.5105105105105106,0.0036028156391359903
"C(property_type, Treatment('Single-Detached'))[Condominium]:d_RRP_lag2",-0.014614557344571046,-0.012902359185793506,0.0128809492538114,0.3683683683683684,0.007753831816529822
